Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
Abandoned mines,Backlog,,,,,,,,,,,,,,,,,,,Areas where mining has previously taken place but is no longer in use,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Advertisments,Backlog,,,,,,,,,,,,,,,,,,,Areas where hoardings or similar are used for advertising,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Agricultural land classification,Backlog,,,,,,,,,,,,,,,,,,✓,A system that grades the quality of land for agricultural use,,,,,,,,,,Natural England,,,,,,Provisional Agricultural Land Classification,https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::provisional-agricultural-land-classification-alc-england/about,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Provisional Agricultural Land Classification (ALC) (England)/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,ogl3,No,,,
Air quality management areas,Backlog,,,,,,,,,,,,✓,,,,,,,Areas where air pollution levels have exceeded the national air quality objectives,,,✓,,,,,,,DEFRA,,Single,Small,,,,,,,,Environmental planning assessment,,
Air quality management locations,Backlog,,,,,,,,,,,,✓,,,,,,,Locations of air quality monitoring sites,,,✓,,,,,Yes,,DEFRA;Local planning authorities,,Single,Small,,,,,,,,Environmental planning assessment,,
Allotments or community growing spaces,Backlog,,,,,,,,,,,,✓,,,,,,,"Land used by communities for growing vegetables, fruit, herbs or flowers which is not for profit",,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,
Ancient woodlands,On the platform,,,,✓,,,,✓,,,,✓,,,,,,✓,Areas that have been wooded continuously since at least 1600 AD,,,✓,,,,,No,,Natural England;Local Environmental Records Centres;British Geological Survey;Envionment Agency,Natural England,Multiple,Medium,Monthly,,Ancient Woodland (England),https://data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england,https://opendata.arcgis.com/datasets/a14064ca50e242c4a92d020764a6d9df_0.geojson,,,Development consent orders (NSIP);Environmental planning assessment,17,32
Area habitats,Backlog,,,,,,,,,,,✓,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,
Areas benefitting from flood defences,Backlog,,,,,,,,✓,,,,✓,,,,,,✓,Areas currently protected by flood defences,,,✓,,,,,,,Environment Agency,,,,,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-areas-benefiting-from-defences,,,,Development consent orders (NSIP);Environmental planning assessment,,
Areas for environmental enhancement,Backlog,,,,,,,✓,,,,,,,,,,,,Areas where new habitats for wildlife will be created or restored,,,✓,,,,,Yes,,Local planning authorities,,Multiple,Small,,,,,,,,Local plans,,
Areas of outstanding natural beauty,On the platform,,,,✓,,,✓,,,,,,,✓,,,,,Land protected by law to conserve and enhance its natural beauty,,,✓,,,,,No,,Natural England,Natural England,Single,Small,,,Areas of Outstanding Natural Beauty (England),https://naturalengland-defra.opendata.arcgis.com/datasets/areas-of-outstanding-natural-beauty-england,https://opendata.arcgis.com/datasets/6f2ad07d91304ad79cdecd52489d5046_0.geojson,,,Local plans,19,31
Article 4 Directions,Piloting,,,,✓,,,✓,,,,,,,,,,,,An Article 4 direction is made by the local planning authority to remove all or some of the permitted development rights on a site in order to protect it,,,✓,,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Large,Ad-hoc,,,,,,,Open planning software,9,30
Assets of community value,Backlog,Phase 1,https://docs.google.com/document/d/1oVoOh4kaLaSeOVXOwfrTpaCfO_Ev3UadR-tQzTe0iBQ/edit,Low,✓,,,✓,,,,,,,,,,,,Buildings or pieces of land that are used for the social wellbeing and interests of the local community,,,✓,,,✓,✓,Yes,,Local planning authority,,,,,,,,,,,,,
